epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,313.107,0.38463,0.36244,0.98295,0.99609,1,0.995,0.9609,0.31855,0.30229,0.8339,0.0012872,0.0012872,0.0012872
38,321.166,0.37405,0.3608,0.97648,0.99647,1,0.995,0.91717,0.38524,0.30787,0.90009,0.0012674,0.0012674,0.0012674
39,329.229,0.40843,0.36775,0.99113,0.99536,1,0.995,0.9364,0.31508,0.30416,0.83191,0.0012476,0.0012476,0.0012476
40,337.311,0.39687,0.36406,0.97377,0.99512,1,0.995,0.89376,0.4294,0.39075,0.93288,0.0012278,0.0012278,0.0012278
41,345.254,0.37964,0.33793,0.9724,0.96598,0.93333,0.98794,0.91045,0.40509,0.39652,0.91031,0.001208,0.001208,0.001208
42,353.325,0.38911,0.37647,0.97832,0.92258,1,0.98688,0.9469,0.39202,0.41918,0.87891,0.0011882,0.0011882,0.0011882
43,361.484,0.39262,0.34378,0.9763,0.96452,1,0.995,0.92275,0.34835,0.30956,0.85073,0.0011684,0.0011684,0.0011684
44,369.635,0.36591,0.34962,0.96554,0.99215,1,0.995,0.9334,0.37962,0.34245,0.8705,0.0011486,0.0011486,0.0011486
45,379.458,0.36522,0.34044,0.95962,0.99641,1,0.995,0.96843,0.30116,0.26346,0.81638,0.0011288,0.0011288,0.0011288
46,387.638,0.41273,0.43903,1.0238,0.98227,1,0.995,0.94609,0.32588,0.2861,0.84345,0.001109,0.001109,0.001109
47,395.353,0.3477,0.34403,0.94644,0.99637,1,0.995,0.96955,0.31076,0.27875,0.85179,0.0010892,0.0010892,0.0010892
48,403.402,0.36436,0.33203,0.97731,0.99655,1,0.995,0.89412,0.45175,0.3311,0.97275,0.0010694,0.0010694,0.0010694
49,411.451,0.35855,0.32504,0.97438,0.99669,1,0.995,0.92559,0.35905,0.30401,0.87549,0.0010496,0.0010496,0.0010496
50,419.827,0.34606,0.31157,0.94697,0.99657,1,0.995,0.94095,0.3606,0.24982,0.87646,0.0010298,0.0010298,0.0010298
51,428.073,0.32602,0.29602,0.94251,0.99657,1,0.995,0.93912,0.35976,0.26752,0.88673,0.00101,0.00101,0.00101
52,436.335,0.36217,0.31413,1.00195,0.99665,1,0.995,0.96499,0.34616,0.26633,0.84421,0.0009902,0.0009902,0.0009902
53,444.445,0.32641,0.30386,0.95036,0.99634,1,0.995,0.94585,0.29562,0.23401,0.82491,0.0009704,0.0009704,0.0009704
54,452.652,0.30738,0.30646,0.94714,1,0.9999,0.995,0.93392,0.33337,0.28539,0.85663,0.0009506,0.0009506,0.0009506
55,460.859,0.31643,0.31121,0.92114,0.98251,1,0.995,0.97413,0.31986,0.2717,0.86469,0.0009308,0.0009308,0.0009308
56,468.978,0.31683,0.29423,0.93031,0.99639,1,0.995,0.95968,0.35442,0.25286,0.87541,0.000911,0.000911,0.000911
57,476.899,0.31351,0.30307,0.94888,0.9966,1,0.995,0.96019,0.28561,0.21642,0.8278,0.0008912,0.0008912,0.0008912
58,485.027,0.32604,0.32333,0.9626,0.99665,1,0.995,0.97914,0.27641,0.21395,0.80065,0.0008714,0.0008714,0.0008714
59,493.17,0.35683,0.29367,0.97559,0.99661,1,0.995,0.97298,0.27676,0.22437,0.80351,0.0008516,0.0008516,0.0008516
60,501.341,0.31582,0.28469,0.93298,0.99656,1,0.995,0.92377,0.3105,0.24312,0.84396,0.0008318,0.0008318,0.0008318
61,509.285,0.29353,0.2641,0.92296,0.99672,1,0.995,0.92515,0.33126,0.23404,0.85624,0.000812,0.000812,0.000812
62,517.262,0.3058,0.27321,0.93338,0.99676,1,0.995,0.95036,0.31906,0.21719,0.86099,0.0007922,0.0007922,0.0007922
63,525.49,0.31778,0.26591,0.93933,0.9967,1,0.995,0.96437,0.31997,0.24059,0.8515,0.0007724,0.0007724,0.0007724
64,533.616,0.28996,0.25424,0.92119,0.99943,1,0.995,0.95236,0.34842,0.25545,0.84444,0.0007526,0.0007526,0.0007526
65,541.57,0.29578,0.2682,0.93228,0.99657,1,0.995,0.95269,0.30186,0.22646,0.82835,0.0007328,0.0007328,0.0007328
66,549.618,0.2618,0.26391,0.91345,0.99618,1,0.995,0.95547,0.31662,0.21297,0.85121,0.000713,0.000713,0.000713
67,557.386,0.2897,0.27673,0.92822,0.99592,1,0.995,0.96699,0.31734,0.24531,0.84317,0.0006932,0.0006932,0.0006932
68,565.532,0.28789,0.2629,0.92245,0.99549,1,0.995,0.94899,0.33148,0.23773,0.84967,0.0006734,0.0006734,0.0006734
69,573.698,0.28851,0.26755,0.92527,0.9964,1,0.995,0.9609,0.28825,0.20616,0.8348,0.0006536,0.0006536,0.0006536
70,582.044,0.28662,0.28077,0.92098,0.99625,1,0.995,0.96145,0.32647,0.24314,0.84383,0.0006338,0.0006338,0.0006338
71,590.019,0.29557,0.2534,0.91696,0.99621,1,0.995,0.96877,0.30066,0.22637,0.83171,0.000614,0.000614,0.000614
72,598.074,0.29811,0.25615,0.93039,0.99631,1,0.995,0.95875,0.30153,0.22009,0.84041,0.0005942,0.0005942,0.0005942
73,606.119,0.29998,0.26652,0.94803,0.99654,1,0.995,0.93883,0.34661,0.23454,0.86174,0.0005744,0.0005744,0.0005744
74,614.153,0.28679,0.24791,0.92868,0.99612,1,0.995,0.94962,0.3059,0.22906,0.8319,0.0005546,0.0005546,0.0005546
75,622.121,0.29002,0.24388,0.92269,0.9965,1,0.995,0.93982,0.32853,0.24231,0.84683,0.0005348,0.0005348,0.0005348
76,630.158,0.3064,0.29738,0.94419,0.93451,1,0.99125,0.97507,0.32739,0.26388,0.84316,0.000515,0.000515,0.000515
77,638.358,0.25893,0.25057,0.90856,0.96314,1,0.995,0.96032,0.30498,0.29693,0.82181,0.0004952,0.0004952,0.0004952
78,646.694,0.27109,0.24952,0.93505,0.99255,1,0.995,0.96349,0.27284,0.21809,0.80686,0.0004754,0.0004754,0.0004754
79,654.949,0.26094,0.24801,0.92476,0.99555,1,0.995,0.97721,0.27405,0.22671,0.80583,0.0004556,0.0004556,0.0004556
80,663.197,0.24962,0.25027,0.91874,0.99601,1,0.995,0.96906,0.27687,0.21498,0.8123,0.0004358,0.0004358,0.0004358
81,671.448,0.27737,0.24939,0.94654,0.99673,1,0.995,0.95325,0.27418,0.2379,0.82152,0.000416,0.000416,0.000416
82,679.494,0.25552,0.23993,0.91454,0.99672,1,0.995,0.94686,0.27516,0.19976,0.80197,0.0003962,0.0003962,0.0003962
83,687.432,0.26137,0.24291,0.9102,0.99667,1,0.995,0.96457,0.26422,0.18628,0.79069,0.0003764,0.0003764,0.0003764
84,695.434,0.25167,0.23989,0.91195,0.99671,1,0.995,0.95671,0.26183,0.21503,0.78655,0.0003566,0.0003566,0.0003566
85,705.433,0.2615,0.24006,0.91483,0.99673,1,0.995,0.98367,0.25893,0.21714,0.77762,0.0003368,0.0003368,0.0003368
86,715.135,0.24127,0.23287,0.90663,0.99668,1,0.995,0.97679,0.2581,0.21655,0.78078,0.000317,0.000317,0.000317
87,723.384,0.24614,0.22344,0.90502,0.99669,1,0.995,0.95636,0.26071,0.19955,0.78541,0.0002972,0.0002972,0.0002972
88,731.365,0.22678,0.21742,0.91066,0.9968,1,0.995,0.97047,0.27221,0.20547,0.80322,0.0002774,0.0002774,0.0002774
89,739.397,0.23155,0.21718,0.89688,0.99679,1,0.995,0.97047,0.27568,0.20299,0.81021,0.0002576,0.0002576,0.0002576
90,747.401,0.25518,0.24969,0.92428,0.99675,1,0.995,0.96643,0.25546,0.19557,0.79948,0.0002378,0.0002378,0.0002378
91,754.967,0.22658,0.3054,0.8792,0.99676,1,0.995,0.9575,0.28159,0.213,0.80681,0.000218,0.000218,0.000218
92,762.68,0.19626,0.20868,0.87738,0.9967,1,0.995,0.97771,0.26103,0.19587,0.79328,0.0001982,0.0001982,0.0001982
93,770.217,0.21259,0.20397,0.87622,0.99665,1,0.995,0.982,0.25595,0.1855,0.7833,0.0001784,0.0001784,0.0001784
94,777.79,0.18266,0.18619,0.84493,0.99671,1,0.995,0.97192,0.24644,0.18126,0.77632,0.0001586,0.0001586,0.0001586
95,785.227,0.18651,0.17923,0.84264,0.9967,1,0.995,0.982,0.24271,0.1794,0.78314,0.0001388,0.0001388,0.0001388
96,792.549,0.17834,0.17417,0.86002,0.99667,1,0.995,0.96346,0.23854,0.16942,0.77637,0.000119,0.000119,0.000119
97,800.083,0.17637,0.17848,0.84532,0.99671,1,0.995,0.97553,0.23339,0.16854,0.76919,9.92e-05,9.92e-05,9.92e-05
98,807.703,0.18141,0.17429,0.84457,0.99669,1,0.995,0.982,0.2228,0.15827,0.76856,7.94e-05,7.94e-05,7.94e-05
99,817.026,0.1788,0.18088,0.88195,0.99666,1,0.995,0.982,0.2233,0.16054,0.76976,5.96e-05,5.96e-05,5.96e-05
100,824.602,0.19259,0.17519,0.88848,0.99664,1,0.995,0.982,0.22901,0.15499,0.77268,3.98e-05,3.98e-05,3.98e-05
